model,runs,clusters_mean,clusters_std,noise_mean,noise_std,silhouette_mean,silhouette_std,ari_mean,ari_std,nmi_mean,nmi_std
DBSCAN,5,7.0,0.0,0.009456264775413711,0.0,0.6323608192016171,0.0,0.03996347797058331,0.0,0.08683428126590727,0.0
DENCLUE,5,7.0,0.0,0.0017730496453900707,0.0,0.6485490403674582,0.0,0.04114017246906174,0.0,0.08830116413545117,0.0
GMM,5,7.0,0.0,0.0,0.0,0.5725788906533457,0.041299051158662003,0.03848053476656841,0.007507844151619953,0.08301518154624858,0.001898019590342908
KMeans,5,7.0,0.0,0.0,0.0,0.5307381729376262,0.015565635379565726,0.02759876246986575,0.001504208709585916,0.08084912872657993,0.001723749660338367
MeanShift,5,5.0,0.0,0.0,0.0,0.6226853681017607,0.0007579759623549395,0.05256959605331642,0.00012437543394627827,0.08669098328184884,0.0001822012832223204
